S,N
470,46293
470,62124
470,52346
420,80326
420,83838
420,83099
390,120047
390,104501
390,113423
350,231884
350,206665
350,647844
330,946823
330,223781
330,10000000
330,590376
310,10000000
310,10000000
310,10000000
